rank,team,points,rank_change,date
140,Kyrgyzstan,1291,-10,2026-06-02
141,Lithuania,1290,-3,2026-06-02
142,New Caledonia,1286,0,2026-06-02
143,Burundi,1285,1,2026-06-02
143,Ethiopia,1285,2,2026-06-02
145,Tajikistan,1284,-4,2026-06-02
145,Dominican Republic,1284,-7,2026-06-02
147,Botswana,1267,-24,2026-06-02
148,Moldova,1262,-18,2026-06-02
149,Guinea-Bissau,1248,-6,2026-06-02
150,Malawi,1241,-5,2026-06-02
151,Cuba,1239,2,2026-06-02
152,Central African Republic,1238,-3,2026-06-02
153,Malta,1236,-1,2026-06-02
154,French Guiana,1223,3,2026-06-02
155,Mayotte,1216,4,2026-06-02
156,Turkmenistan,1209,4,2026-06-02
157,Congo Republic,1207,0,2026-06-02
158,Lesotho,1205,-4,2026-06-02
159,Eritrea,1201,6,2026-06-02
160,Tahiti,1176,1,2026-06-02
161,Philippines,1167,8,2026-06-02
162,Yemen,1151,10,2026-06-02
163,Eswatini,1149,-7,2026-06-02
164,St Vincent & Grenadines,1141,-1,2026-06-02
165,Singapore,1139,13,2026-06-02
166,Puerto Rico,1138,5,2026-06-02
167,Papua New Guinea,1135,6,2026-06-02
168,India,1128,-6,2026-06-02
169,Hong Kong,1120,-3,2026-06-02
170,Bermuda,1119,-2,2026-06-02
171,Vanuatu,1114,10,2026-06-02
172,South Sudan,1109,-5,2026-06-02
173,Fiji,1108,-18,2026-06-02
174,Grenada,1098,1,2026-06-02
175,Andorra,1076,1,2026-06-02
176,Mauritius,1073,6,2026-06-02
176,Chad,1073,-12,2026-06-02
176,Belize,1073,-2,2026-06-02
179,Solomon Islands,1054,-9,2026-06-02
180,Saint Martin,1042,3,2026-06-02
181,Sao Tome and Principe,1035,3,2026-06-02
182,Saint Kitts and Nevis,1029,-3,2026-06-02
183,Afghanistan,1023,-6,2026-06-02
184,Somaliland,1005,2,2026-06-02
185,Saint Lucia,1003,0,2026-06-02
186,Gibraltar,1002,-6,2026-06-02
187,Western Sahara,996,0,2026-06-02
188,Myanmar,982,5,2026-06-02
189,Aruba,979,10,2026-06-02
189,Somalia,979,11,2026-06-02
191,Sint Maarten,975,3,2026-06-02
192,Montserrat,971,-2,2026-06-02
193,Greenland,946,-1,2026-06-02
194,Djibouti,940,1,2026-06-02
195,Dominica,934,-7,2026-06-02
196,Bangladesh,932,0,2026-06-02
197,Liechtenstein,904,4,2026-06-02
198,Monaco,903,4,2026-06-02
199,Barbados,898,-10,2026-06-02
200,Antigua and Barbuda,894,-3,2026-06-02
201,Nepal,893,-10,2026-06-02
202,Seychelles,853,2,2026-06-02
203,Cambodia,844,3,2026-06-02
204,San Marino,836,1,2026-06-02
204,Maldives,836,-1,2026-06-02
204,Bonaire,836,3,2026-06-02
207,Sri Lanka,827,6,2026-06-02
208,Taiwan,821,-10,2026-06-02
209,Pakistan,812,0,2026-06-02
210,Cayman Islands,805,-2,2026-06-02
211,Chagos Islands,782,0,2026-06-02
212,Tuvalu,756,0,2026-06-02
213,Sint Eustatius,737,0,2026-06-02
214,Laos,734,8,2026-06-02
215,Samoa,728,1,2026-06-02
216,British Virgin Islands,727,12,2026-06-02
216,Mongolia,727,-1,2026-06-02
218,Saint Barthelemy,725,-1,2026-06-02
219,Guam,718,-1,2026-06-02
220,East Timor,714,5,2026-06-02
221,Wallis and Futuna,699,-2,2026-06-02
222,Vatican,692,-2,2026-06-02
223,Saba,691,-2,2026-06-02
224,Bahamas,685,-14,2026-06-02
225,St Pierre and Miquelon,677,-2,2026-06-02
226,Turks and Caicos Islands,657,0,2026-06-02
227,Anguilla,646,4,2026-06-02
228,Bhutan,636,-1,2026-06-02
229,Tibet,629,0,2026-06-02
230,US Virgin Islands,628,3,2026-06-02
231,Cook Islands,622,-1,2026-06-02
232,Brunei,592,-8,2026-06-02
233,Macao,588,-1,2026-06-02
234,Christmas Island,578,0,2026-06-02
235,Falkland Islands,571,0,2026-06-02
236,FS Micronesia,563,0,2026-06-02
237,Marshall Islands,559,0,2026-06-02
238,Kiribati,544,-1,2026-06-02
239,Tonga,520,-1,2026-06-02
240,Niue,496,-1,2026-06-02
241,Northern Marianas,432,-1,2026-06-02
242,Cocos Islands,422,-1,2026-06-02
243,Palau,402,-1,2026-06-02
244,Eastern Samoa,369,-1,2026-06-02
